time;ap0;ap1;ap2;ap3
100.0;359;347;340;354
200.0;359;346;341;354
300.0;359;346;341;354
400.0;359;346;341;354
500.0;359;347;340;354
600.0;359;347;340;354
700.0;358;348;340;354
800.0;358;348;340;354
900.0;358;348;340;354
1000.0;358;347;339;356
1100.0;358;347;339;356
1200.0;358;347;339;356
1300.0;358;347;339;356
1400.0;358;347;339;356
1500.0;358;347;339;356
1600.0;358;347;339;356
1700.0;358;347;339;356
1800.0;358;347;339;356
1900.0;358;346;339;357
2000.0;358;346;339;357
2100.0;358;346;339;357
2200.0;358;346;339;357
2300.0;358;346;339;357
2400.0;358;346;339;357
2500.0;358;346;339;357
2600.0;358;346;339;357
2700.0;358;346;339;357
2800.0;357;346;339;358
2900.0;357;346;339;358
3000.0;357;346;339;358
3100.0;357;347;338;358
3200.0;357;347;338;358
3300.0;357;347;338;358
3400.0;357;346;338;359
3500.0;357;346;338;359
3600.0;358;346;338;358
3700.0;358;346;338;358
3800.0;358;346;338;358
3900.0;358;346;338;358
4000.0;357;346;338;359
4100.0;357;346;338;359
4200.0;357;346;339;358
4300.0;357;346;339;358
4400.0;357;346;339;358
4500.0;357;346;339;358
4600.0;357;346;339;358
4700.0;357;345;340;358
4800.0;357;344;341;358
4900.0;357;344;341;358
5000.0;357;344;341;358
5100.0;357;345;341;357
5200.0;357;345;341;357
5300.0;357;345;341;357
5400.0;357;345;341;357
5500.0;357;345;341;357
5600.0;357;345;341;357
5700.0;357;345;341;357
5800.0;357;345;341;357
5900.0;357;345;341;357
6000.0;357;345;341;357
6100.0;358;345;341;356
6200.0;358;345;341;356
6300.0;358;345;341;356
6400.0;358;345;340;357
6500.0;358;345;340;357
6600.0;358;345;340;357
6700.0;357;345;341;357
6800.0;357;345;341;357
6900.0;357;345;341;357
7000.0;357;345;341;357
7100.0;357;345;341;357
7200.0;357;345;341;357
7300.0;357;345;341;357
7400.0;357;345;341;357
7500.0;357;344;341;358
7600.0;357;344;341;358
7700.0;357;344;341;358
7800.0;357;344;341;358
7900.0;357;344;341;358
8000.0;357;344;341;358
8100.0;357;343;342;358
8200.0;357;343;342;358
8300.0;357;343;342;358
8400.0;357;343;342;358
8500.0;357;343;342;358
8600.0;357;343;342;358
8700.0;357;343;342;358
8800.0;357;343;342;358
8900.0;357;343;342;358
9000.0;357;343;342;358
9100.0;358;342;342;358
9200.0;358;342;342;358
9300.0;358;342;342;358
9400.0;358;342;342;358
9500.0;358;342;342;358
9600.0;358;342;342;358
9700.0;359;342;342;357
9800.0;359;342;342;357
9900.0;359;342;342;357
10000.0;359;342;342;357
10100.0;359;342;342;357
10200.0;359;342;342;357
10300.0;359;342;342;357
10400.0;359;342;342;357
10500.0;359;342;342;357
10600.0;359;342;342;357
10700.0;359;342;343;356
10800.0;359;342;343;356
10900.0;361;342;341;356
