time;load_on_edge;load_on_cloud;load_on_mobile
100.0;0.0;1.75;0.0
200.0;0.75;2.25;0.0
300.0;0.75;2.75;0.0
400.0;2.25;5.0;0.0
500.0;7.0;5.5;0.0
600.0;6.0;5.75;0.0
700.0;7.5;7.0;0.0
800.0;9.75;6.25;0.0
900.0;10.5;6.25;0.0
1000.0;24.25;4.0;0.0
1100.0;33.75;5.75;0.0
1200.0;46.5;5.75;0.0
1300.0;47.0;6.0;0.0
1400.0;50.75;4.0;0.0
1500.0;58.75;3.75;0.0
1600.0;59.0;3.0;0.0
1700.0;60.75;1.5;0.0
1800.0;45.75;1.75;0.0
1900.0;52.0;0.5;0.0
2000.0;55.0;0.25;0.0
2100.0;50.25;1.25;0.0
2200.0;54.5;1.0;0.0
2300.0;59.0;1.0;0.0
2400.0;51.25;1.75;0.0
2500.0;62.75;1.75;0.0
2600.0;52.0;1.55;0.0
2700.0;59.75;0.75;0.0
2800.0;61.25;1.5;0.0
2900.0;58.5;1.75;0.0
3000.0;62.75;2.25;0.0
3100.0;64.75;3.5;0.0
3200.0;65.75;2.5;0.0
3300.0;60.75;2.25;0.0
3400.0;61.0;1.5;0.0
3500.0;67.0;2.3;0.0
3600.0;67.5;1.25;0.0
3700.0;73.5;2.4000000000000004;0.0
3800.0;67.25;2.5;0.0
3900.0;74.25;4.1;0.0
4000.0;72.0;4.9;0.0
4100.0;72.25;5.15;0.0
4200.0;65.5;5.55;0.0
4300.0;66.25;6.25;0.0
4400.0;76.0;3.9000000000000004;0.0
4500.0;61.25;3.25;0.0
4600.0;68.0;4.25;0.0
4700.0;74.0;4.5;0.0
4800.0;74.75;7.799999999999999;0.0
4900.0;65.5;4.6;0.0
5000.0;73.75;4.75;0.0
5100.0;74.25;4.8999999999999995;0.0
5200.0;68.75;3.3;0.0
5300.0;70.25;3.8;0.0
5400.0;69.5;4.35;0.0
5500.0;77.25;4.95;0.0
5600.0;75.5;3.0500000000000003;0.0
5700.0;69.0;1.2000000000000002;0.0
5800.0;71.75;2.8;0.0
5900.0;76.25;3.6999999999999997;0.0
6000.0;71.75;5.3999999999999995;0.0
6100.0;68.75;2.4;0.0
6200.0;74.5;6.1499999999999995;0.0
6300.0;75.25;7.549999999999999;0.0
6400.0;75.25;7.399999999999999;0.0
6500.0;74.5;7.599999999999999;0.0
6600.0;70.5;6.999999999999999;0.0
6700.0;73.25;5.6;0.0
6800.0;74.0;5.799999999999999;0.0
6900.0;74.75;6.549999999999998;0.0
7000.0;71.25;7.149999999999999;0.0
7100.0;73.25;7.249999999999998;0.0
7200.0;70.5;9.099999999999998;0.0
7300.0;68.25;6.949999999999999;0.0
7400.0;73.75;7.5;0.0
7500.0;86.25;7.1499999999999995;0.0
7600.0;85.5;8.1;0.0
7700.0;77.0;10.049999999999999;0.0
7800.0;84.5;11.749999999999996;0.0
7900.0;76.5;10.95;0.0
8000.0;86.25;12.799999999999997;0.0
8100.0;70.5;13.149999999999999;0.0
8200.0;71.5;14.799999999999997;0.0
8300.0;76.25;13.499999999999998;0.0
8400.0;73.25;15.449999999999998;0.0
8500.0;79.0;15.349999999999996;0.0
8600.0;67.25;13.499999999999998;0.0
8700.0;75.75;16.599999999999994;0.0
8800.0;76.75;17.2;0.0
8900.0;71.5;16.900000000000002;0.0
9000.0;82.5;14.399999999999997;0.0
9100.0;74.5;14.549999999999999;0.0
9200.0;77.75;14.799999999999997;0.0
9300.0;75.75;19.750000000000004;0.0
9400.0;74.0;16.449999999999996;0.0
9500.0;68.5;16.199999999999996;0.0
9600.0;70.25;18.0;0.0
9700.0;71.25;17.8;0.0
9800.0;69.75;18.950000000000003;0.0
9900.0;69.25;16.55;0.0
10000.0;71.0;17.15;0.0
10100.0;72.75;16.799999999999997;0.0
10200.0;68.25;12.899999999999997;0.0
10300.0;69.75;13.499999999999996;0.0
10400.0;70.25;13.849999999999996;0.0
10500.0;80.25;15.299999999999995;0.0
10600.0;76.25;13.249999999999996;0.0
10700.0;68.5;14.849999999999998;0.0
10800.0;74.25;13.499999999999996;0.0
10900.0;74.5;16.4;0.0
