time;wlan;wan;man
100.0;0.0;0.042;0.0
200.0;0.123;0.215;0.0
300.0;0.082;0.658;0.0
400.0;0.123;1.685;0.0
500.0;0.246;0.0;0.0
600.0;0.287;0.005;0.0
700.0;0.369;0.045;0.0
800.0;0.41;0.042;0.0
900.0;0.328;1.506;0.0
1000.0;0.328;0.022;0.0
1100.0;0.574;5.141;0.0
1200.0;0.615;0.0;0.0
1300.0;0.451;0.167;0.0
1400.0;0.574;0.0;0.0
1500.0;0.656;0.0;0.0
1600.0;0.703;0.0;0.0
1700.0;0.41;0.023;0.0
1800.0;0.492;1.082;0.0
1900.0;0.287;0.0;0.0
2000.0;0.615;0.002;0.0
2100.0;0.697;0.012;0.0
2200.0;0.656;0.0;0.0
2300.0;0.779;0.051;0.0
2400.0;0.738;0.0;0.0
2500.0;0.738;0.0;0.0
2600.0;0.697;2.237;0.0
2700.0;0.697;0.0;0.0
2800.0;0.902;0.004;0.0
2900.0;1.107;0.0;0.0
3000.0;0.825;0.033;0.0
3100.0;1.023;0.052;0.0
3200.0;1.176;3.277;0.0
3300.0;0.902;1.746;0.0
3400.0;0.861;3.448;0.0
3500.0;1.025;0.0;0.0
3600.0;1.312;0.0;0.0
3700.0;1.148;0.0;0.0
3800.0;1.23;1.56;0.0
3900.0;1.025;0.015;0.0
4000.0;1.148;1.02;0.0
4100.0;1.148;0.012;0.0
4200.0;1.107;2.578;0.0
4300.0;1.435;0.0;0.123
4400.0;1.148;0.075;0.041
4500.0;1.435;0.011;0.0
4600.0;1.722;1.858;0.0
4700.0;1.271;0.039;0.0
4800.0;0.902;0.06;0.0
4900.0;0.697;0.0;0.041
5000.0;0.656;0.0;0.041
5100.0;0.656;0.009;0.082
5200.0;0.718;1.51;0.103
5300.0;0.965;0.981;0.268
5400.0;0.697;0.041;0.082
5500.0;0.779;3.675;0.0
5600.0;0.82;0.807;0.041
5700.0;0.82;0.0;0.123
5800.0;0.984;0.0;0.328
5900.0;0.82;0.001;0.246
6000.0;0.828;1.41;0.246
6100.0;0.854;0.0;0.231
6200.0;3.194;0.937;0.123
6300.0;0.902;0.287;0.328
6400.0;1.23;0.864;0.533
6500.0;1.291;1.321;0.41
6600.0;0.451;1.507;0.164
6700.0;0.82;0.041;0.246
6800.0;0.738;0.041;0.369
6900.0;2.715;3.173;2.141
7000.0;0.738;0.858;0.205
7100.0;1.148;1.0;0.369
7200.0;1.107;2.527;0.369
7300.0;1.435;0.207;0.656
7400.0;0.902;1.081;0.451
7500.0;0.492;0.757;0.246
7600.0;0.369;0.507;0.0
7700.0;0.861;0.0;0.205
7800.0;0.41;0.377;0.0
7900.0;0.779;2.429;0.205
8000.0;1.312;0.21;0.41
8100.0;0.984;1.118;0.369
8200.0;0.399;2.347;0.041
8300.0;0.41;1.269;0.082
8400.0;1.025;1.216;0.451
8500.0;0.615;0.422;0.0
8600.0;0.533;1.352;0.0
8700.0;0.615;1.395;0.164
8800.0;0.287;3.593;0.082
8900.0;0.615;0.991;0.123
9000.0;0.697;1.021;0.164
9100.0;1.066;0.172;0.287
9200.0;1.315;0.617;0.369
9300.0;0.451;1.281;0.041
9400.0;0.861;0.852;0.287
9500.0;0.902;0.378;0.205
9600.0;1.08;2.236;0.328
9700.0;2.513;0.861;0.082
9800.0;0.697;1.806;0.041
9900.0;0.574;1.23;0.205
10000.0;0.902;1.615;0.082
10100.0;1.962;0.577;0.0
10200.0;0.574;0.786;0.0
10300.0;1.23;0.529;0.246
10400.0;0.902;0.0;0.164
10500.0;1.64;0.213;0.574
10600.0;1.558;0.362;0.328
10700.0;0.779;0.246;0.041
10800.0;0.74;0.0;0.041
10900.0;0.615;0.553;0.0
