time;wlan;wan;man
100.0;0.041;0.0;0.0
200.0;0.0;0.0;0.0
300.0;0.0;0.0;0.0
400.0;0.057;0.0;0.016
500.0;0.066;0.0;0.066
600.0;0.246;0.0;0.123
700.0;2.613;0.974;2.572
800.0;0.193;1.537;0.152
900.0;0.0;1.466;0.0
1000.0;0.167;1.987;0.167
1100.0;1.075;1.735;1.075
1200.0;0.0;1.773;0.0
1300.0;0.0;4.77;0.0
1400.0;0.045;1.664;0.045
1500.0;0.0;1.435;0.0
1600.0;1.094;1.564;1.094
1700.0;0.959;5.804;0.959
1800.0;0.0;2.847;0.0
1900.0;0.0;1.866;0.0
2000.0;0.041;1.018;0.041
2100.0;0.082;2.858;0.041
2200.0;2.873;1.505;2.873
2300.0;0.041;2.577;0.0
2400.0;0.041;0.66;0.0
2500.0;0.0;4.691;0.0
2600.0;0.0;1.706;0.0
2700.0;0.0;0.328;0.0
2800.0;0.0;0.572;0.0
2900.0;0.0;0.41;0.0
3000.0;0.0;0.556;0.0
3100.0;0.0;0.815;0.0
3200.0;0.0;2.75;0.0
3300.0;0.0;0.328;0.0
3400.0;0.0;0.309;0.0
3500.0;4.268;0.156;4.268
3600.0;0.0;3.414;0.0
3700.0;0.0;0.113;0.0
3800.0;0.041;0.0;0.041
3900.0;0.0;5.111;0.0
4000.0;0.0;1.835;0.0
4100.0;0.0;2.455;0.0
4200.0;0.0;7.889;0.0
4300.0;0.082;4.815;0.0
4400.0;0.123;1.505;0.0
4500.0;0.0;1.98;0.0
4600.0;0.082;2.227;0.041
4700.0;0.123;0.567;0.041
4800.0;0.0;0.891;0.0
4900.0;0.0;1.982;0.0
5000.0;0.0;0.658;0.0
5100.0;0.0;1.731;0.0
5200.0;0.041;1.778;0.0
5300.0;0.0;0.6;0.0
5400.0;0.093;5.652;0.052
5500.0;0.0;1.064;0.0
5600.0;0.041;0.082;0.0
5700.0;0.0;0.758;0.0
5800.0;0.083;0.395;0.01
5900.0;0.0;3.242;0.0
6000.0;0.765;0.147;0.724
6100.0;2.109;3.278;2.109
6200.0;0.0;3.399;0.0
6300.0;0.041;0.076;0.041
6400.0;0.0;2.138;0.0
6500.0;0.22;4.149;0.041
6600.0;0.0;4.392;0.0
6700.0;0.0;5.513;0.0
6800.0;0.0;5.523;0.0
6900.0;0.0;0.215;0.0
7000.0;0.0;6.55;0.0
7100.0;0.0;2.736;0.0
7200.0;0.0;4.038;0.0
7300.0;0.0;3.843;0.0
7400.0;0.041;2.401;0.0
7500.0;0.0;2.867;0.0
7600.0;0.041;7.066;0.0
7700.0;0.0;2.72;0.0
7800.0;0.0;3.761;0.0
7900.0;0.0;1.911;0.0
8000.0;0.041;3.907;0.0
8100.0;0.0;5.854;0.0
8200.0;0.0;1.876;0.0
8300.0;0.0;2.47;0.0
8400.0;0.082;9.441;0.041
8500.0;0.0;1.58;0.0
8600.0;0.082;1.338;0.041
8700.0;0.082;3.249;0.041
8800.0;0.0;8.915;0.0
8900.0;0.0;3.507;0.0
9000.0;0.0;4.949;0.0
9100.0;0.077;5.813;0.041
9200.0;0.003;2.713;0.0
9300.0;0.041;2.991;0.0
9400.0;0.082;5.812;0.041
9500.0;1.429;8.93;0.041
9600.0;0.048;1.527;0.048
9700.0;0.0;6.852;0.0
9800.0;0.787;1.444;0.787
9900.0;0.0;0.086;0.0
10000.0;0.041;0.542;0.0
10100.0;1.019;3.878;0.0
10200.0;0.0;6.468;0.0
10300.0;0.041;1.432;0.0
10400.0;0.041;1.312;0.0
10500.0;0.0;1.134;0.0
10600.0;0.0;3.689;0.0
10700.0;0.0;1.837;0.0
10800.0;0.0;5.293;0.0
10900.0;0.0;3.098;0.0
