time;ap0;ap1;ap2;ap3
100.0;178;202;216;204
200.0;178;202;216;204
300.0;178;202;216;204
400.0;178;202;216;204
500.0;178;202;216;204
600.0;178;202;216;204
700.0;178;202;216;204
800.0;178;202;216;204
900.0;178;202;216;204
1000.0;178;202;216;204
1100.0;178;202;216;204
1200.0;178;202;216;204
1300.0;178;202;216;204
1400.0;178;202;216;204
1500.0;178;202;216;204
1600.0;178;202;216;204
1700.0;178;202;216;204
1800.0;178;202;216;204
1900.0;178;202;216;204
2000.0;178;202;216;204
2100.0;177;202;216;205
2200.0;177;202;216;205
2300.0;177;202;216;205
2400.0;177;202;216;205
2500.0;177;202;216;205
2600.0;177;202;216;205
2700.0;177;202;216;205
2800.0;178;201;216;205
2900.0;178;201;216;205
3000.0;178;201;216;205
3100.0;178;201;216;205
3200.0;178;201;216;205
3300.0;178;201;216;205
3400.0;178;201;216;205
3500.0;178;201;216;205
3600.0;178;201;216;205
3700.0;178;201;216;205
3800.0;178;201;216;205
3900.0;179;201;216;204
4000.0;179;201;216;204
4100.0;179;201;216;204
4200.0;179;200;216;205
4300.0;179;200;216;205
4400.0;179;200;216;205
4500.0;179;200;216;205
4600.0;179;200;216;205
4700.0;179;200;216;205
4800.0;179;200;216;205
4900.0;179;200;216;205
5000.0;179;200;216;205
5100.0;179;200;216;205
5200.0;179;200;216;205
5300.0;179;200;216;205
5400.0;180;199;216;205
5500.0;180;199;216;205
5600.0;180;199;216;205
5700.0;181;199;216;204
5800.0;181;199;216;204
5900.0;181;199;216;204
6000.0;181;199;216;204
6100.0;180;199;216;205
6200.0;180;199;216;205
6300.0;180;199;216;205
6400.0;180;199;216;205
6500.0;180;199;216;205
6600.0;180;199;216;205
6700.0;180;199;216;205
6800.0;180;199;216;205
6900.0;180;199;216;205
7000.0;180;199;216;205
7100.0;180;199;216;205
7200.0;180;199;216;205
7300.0;180;199;216;205
7400.0;180;200;216;204
7500.0;180;200;216;204
7600.0;180;200;216;204
7700.0;180;200;216;204
7800.0;180;200;216;204
7900.0;179;201;216;204
8000.0;179;201;216;204
8100.0;179;201;216;204
8200.0;179;201;216;204
8300.0;179;201;216;204
8400.0;179;201;216;204
8500.0;179;201;216;204
8600.0;179;201;216;204
8700.0;179;201;216;204
8800.0;179;201;216;204
8900.0;179;201;216;204
9000.0;179;201;216;204
9100.0;179;201;216;204
9200.0;180;201;215;204
9300.0;180;201;215;204
9400.0;180;200;214;206
9500.0;179;200;215;206
9600.0;178;201;215;206
9700.0;178;201;215;206
9800.0;178;201;215;206
9900.0;178;201;215;206
10000.0;179;200;215;206
10100.0;179;200;215;206
10200.0;179;200;215;206
10300.0;179;200;215;206
10400.0;179;200;215;206
10500.0;179;200;215;206
10600.0;179;200;215;206
10700.0;179;200;215;206
10800.0;179;200;215;206
10900.0;179;200;215;206
