time;wlan;wan;man
100.0;0.008;0.0;0.0
200.0;0.205;0.0;0.164
300.0;0.246;0.0;0.123
400.0;1.337;0.0;0.246
500.0;0.164;0.0;0.082
600.0;0.164;0.0;0.041
700.0;0.328;0.0;0.205
800.0;0.475;0.0;0.246
900.0;0.246;0.0;0.0
1000.0;0.473;0.164;0.268
1100.0;0.123;4.904;0.123
1200.0;0.127;0.984;0.127
1300.0;0.215;0.966;0.174
1400.0;0.205;0.984;0.205
1500.0;0.082;0.554;0.082
1600.0;1.504;0.914;1.381
1700.0;1.047;0.448;0.123
1800.0;0.328;1.908;0.164
1900.0;0.247;2.009;0.205
2000.0;0.123;1.25;0.082
2100.0;2.331;1.04;2.208
2200.0;0.738;1.964;0.492
2300.0;0.767;0.955;0.603
2400.0;0.574;1.357;0.41
2500.0;0.574;3.13;0.492
2600.0;0.553;4.171;0.451
2700.0;0.328;2.583;0.205
2800.0;0.414;2.688;0.25
2900.0;0.328;2.996;0.246
3000.0;0.333;3.125;0.128
3100.0;0.151;5.799;0.11
3200.0;1.295;9.955;0.205
3300.0;0.205;5.311;0.123
3400.0;1.869;8.885;1.705
3500.0;3.044;6.353;2.921
3600.0;0.53;3.69;0.303
3700.0;0.123;5.3;0.082
3800.0;0.208;5.353;0.126
3900.0;4.5;6.186;4.459
4000.0;0.041;7.056;0.041
4100.0;0.0;6.208;0.0
4200.0;0.184;7.448;0.184
4300.0;0.205;9.319;0.123
4400.0;0.492;14.238;0.287
4500.0;0.813;8.611;0.567
4600.0;0.205;9.834;0.123
4700.0;0.458;7.165;0.246
4800.0;0.041;11.097;0.0
4900.0;0.123;9.645;0.082
5000.0;0.0;7.237;0.0
5100.0;0.491;8.244;0.041
5200.0;0.246;12.027;0.205
5300.0;0.0;11.66;0.0
5400.0;0.205;11.593;0.164
5500.0;0.082;14.992;0.0
5600.0;0.246;10.575;0.123
5700.0;0.123;11.545;0.0
5800.0;0.247;8.077;0.133
5900.0;0.043;8.308;0.043
6000.0;0.221;9.334;0.139
6100.0;1.528;9.461;1.364
6200.0;0.164;9.73;0.123
6300.0;0.287;14.967;0.164
6400.0;0.082;7.354;0.082
6500.0;0.287;13.278;0.164
6600.0;0.272;16.513;0.123
6700.0;1.693;12.846;0.287
6800.0;0.507;14.07;0.164
6900.0;0.123;16.945;0.041
7000.0;0.328;11.49;0.123
7100.0;0.205;11.57;0.164
7200.0;0.328;13.053;0.123
7300.0;0.328;10.954;0.246
7400.0;0.123;13.888;0.041
7500.0;0.164;12.161;0.082
7600.0;0.328;17.172;0.0
7700.0;0.369;11.081;0.123
7800.0;0.328;12.331;0.164
7900.0;0.164;15.102;0.123
8000.0;0.164;13.063;0.041
8100.0;0.246;14.307;0.082
8200.0;0.287;10.691;0.164
8300.0;0.328;10.058;0.164
8400.0;0.205;25.944;0.041
8500.0;0.205;19.563;0.041
8600.0;0.164;14.399;0.041
8700.0;0.369;9.811;0.082
8800.0;0.41;13.023;0.246
8900.0;0.328;17.789;0.164
9000.0;0.205;15.292;0.0
9100.0;0.446;11.93;0.323
9200.0;0.328;18.926;0.164
9300.0;0.095;16.471;0.013
9400.0;0.123;12.339;0.041
9500.0;0.041;15.546;0.0
9600.0;0.041;15.693;0.0
9700.0;0.123;10.86;0.0
9800.0;1.265;12.265;0.978
9900.0;0.082;16.441;0.0
10000.0;0.287;13.982;0.205
10100.0;0.041;14.758;0.0
10200.0;0.369;13.384;0.164
10300.0;0.164;14.816;0.082
10400.0;0.164;14.811;0.082
10500.0;0.0;16.409;0.0
10600.0;0.323;13.162;0.159
10700.0;0.342;12.397;0.26
10800.0;0.207;19.672;0.043
10900.0;1.323;14.741;1.241
