time;ap0;ap1;ap2;ap3
100.0;415;398;396;391
200.0;415;398;396;391
300.0;415;398;396;391
400.0;415;398;396;391
500.0;415;398;396;391
600.0;414;398;397;391
700.0;414;398;398;390
800.0;414;398;398;390
900.0;414;398;398;390
1000.0;413;398;400;389
1100.0;412;399;401;388
1200.0;411;399;402;388
1300.0;411;400;401;388
1400.0;411;400;401;388
1500.0;411;400;401;388
1600.0;411;400;401;388
1700.0;413;399;400;388
1800.0;413;398;401;388
1900.0;413;398;401;388
2000.0;413;398;401;388
2100.0;413;398;401;388
2200.0;413;398;401;388
2300.0;413;398;401;388
2400.0;413;398;401;388
2500.0;412;399;401;388
2600.0;413;399;400;388
2700.0;413;399;400;388
2800.0;413;399;400;388
2900.0;413;399;400;388
3000.0;413;399;400;388
3100.0;413;399;400;388
3200.0;413;399;400;388
3300.0;413;399;400;388
3400.0;413;399;400;388
3500.0;413;399;400;388
3600.0;413;399;401;387
3700.0;413;399;401;387
3800.0;412;400;401;387
3900.0;412;400;401;387
4000.0;412;400;401;387
4100.0;412;400;401;387
4200.0;412;400;401;387
4300.0;412;400;401;387
4400.0;412;400;401;387
4500.0;412;400;401;387
4600.0;412;400;401;387
4700.0;412;400;401;387
4800.0;412;400;401;387
4900.0;411;400;401;388
5000.0;410;401;401;388
5100.0;410;403;401;386
5200.0;410;403;401;386
5300.0;410;403;401;386
5400.0;410;403;401;386
5500.0;408;403;403;386
5600.0;408;403;403;386
5700.0;408;403;403;386
5800.0;408;403;403;386
5900.0;409;403;403;385
6000.0;409;403;404;384
6100.0;409;403;404;384
6200.0;409;403;404;384
6300.0;410;402;405;383
6400.0;410;402;405;383
6500.0;410;402;405;383
6600.0;410;403;405;382
6700.0;410;403;405;382
6800.0;411;402;404;383
6900.0;411;402;404;383
7000.0;410;402;405;383
7100.0;410;401;406;383
7200.0;410;401;406;383
7300.0;410;400;407;383
7400.0;410;400;407;383
7500.0;409;400;407;384
7600.0;409;400;407;384
7700.0;409;400;407;384
7800.0;409;400;407;384
7900.0;409;400;407;384
8000.0;409;399;408;384
8100.0;409;399;408;384
8200.0;409;399;408;384
8300.0;409;399;408;384
8400.0;409;399;409;383
8500.0;409;399;409;383
8600.0;409;399;409;383
8700.0;408;400;409;383
8800.0;407;401;409;383
8900.0;407;401;409;383
9000.0;407;401;409;383
9100.0;407;401;409;383
9200.0;407;401;409;383
9300.0;407;401;409;383
9400.0;407;401;409;383
9500.0;407;401;409;383
9600.0;407;401;409;383
9700.0;407;401;409;383
9800.0;407;401;409;383
9900.0;407;401;410;382
10000.0;407;401;410;382
10100.0;407;401;410;382
10200.0;409;401;409;381
10300.0;408;401;410;381
10400.0;408;401;410;381
10500.0;408;401;411;380
10600.0;408;401;411;380
10700.0;408;401;411;380
10800.0;408;401;411;380
10900.0;408;401;411;380
