time;load_on_edge;load_on_cloud;load_on_mobile
100.0;8.75;0.0;0.0
200.0;13.25;0.0;0.0
300.0;13.75;0.0;0.0
400.0;29.25;0.0;0.0
500.0;36.25;0.0;0.0
600.0;44.0;0.0;0.0
700.0;51.5;0.0;0.0
800.0;57.0;0.0;0.0
900.0;68.0;0.0;0.0
1000.0;77.75;0.25;0.0
1100.0;80.5;0.5;0.0
1200.0;80.5;0.4;0.0
1300.0;79.5;0.5;0.0
1400.0;78.5;0.0;0.0
1500.0;80.25;0.4;0.0
1600.0;80.25;0.55;0.0
1700.0;80.75;0.65;0.0
1800.0;81.25;1.1;0.0
1900.0;81.0;0.55;0.0
2000.0;76.75;0.25;0.0
2100.0;80.75;1.9;0.0
2200.0;82.25;0.9;0.0
2300.0;78.75;1.0;0.0
2400.0;78.0;2.0;0.0
2500.0;77.0;1.75;0.0
2600.0;80.25;1.25;0.0
2700.0;84.75;0.9500000000000001;0.0
2800.0;78.25;0.75;0.0
2900.0;78.0;1.0;0.0
3000.0;81.5;1.4500000000000002;0.0
3100.0;78.0;1.5;0.0
3200.0;82.25;3.3000000000000003;0.0
3300.0;80.0;1.75;0.0
3400.0;81.75;2.8;0.0
3500.0;80.5;2.65;0.0
3600.0;82.5;1.15;0.0
3700.0;80.25;1.0999999999999999;0.0
3800.0;85.5;1.45;0.0
3900.0;80.5;3.25;0.0
4000.0;81.25;2.7;0.0
4100.0;79.75;5.3;0.0
4200.0;78.5;6.85;0.0
4300.0;81.25;5.949999999999999;0.0
4400.0;87.0;4.95;0.0
4500.0;84.0;3.5;0.0
4600.0;82.25;2.95;0.0
4700.0;84.75;3.6500000000000004;0.0
4800.0;81.5;6.549999999999999;0.0
4900.0;80.25;5.6;0.0
5000.0;85.75;4.6;0.0
5100.0;84.25;4.5;0.0
5200.0;83.0;5.949999999999999;0.0
5300.0;81.25;6.149999999999999;0.0
5400.0;86.25;4.8;0.0
5500.0;82.5;5.199999999999999;0.0
5600.0;86.25;3.95;0.0
5700.0;84.25;2.05;0.0
5800.0;86.75;2.5;0.0
5900.0;80.25;3.75;0.0
6000.0;79.5;4.65;0.0
6100.0;82.5;2.75;0.0
6200.0;81.75;4.4;0.0
6300.0;83.75;6.499999999999999;0.0
6400.0;82.0;7.8999999999999995;0.0
6500.0;81.75;8.549999999999997;0.0
6600.0;83.25;6.999999999999999;0.0
6700.0;80.5;8.549999999999997;0.0
6800.0;86.0;4.9;0.0
6900.0;80.25;6.399999999999999;0.0
7000.0;80.75;8.149999999999999;0.0
7100.0;81.5;7.849999999999998;0.0
7200.0;84.25;7.399999999999998;0.0
7300.0;79.75;5.1;0.0
7400.0;85.25;6.249999999999999;0.0
7500.0;92.0;4.6000000000000005;0.0
7600.0;84.0;5.949999999999999;0.0
7700.0;89.0;8.099999999999998;0.0
7800.0;80.5;8.95;0.0
7900.0;80.5;9.349999999999998;0.0
8000.0;80.5;9.849999999999998;0.0
8100.0;82.25;10.049999999999999;0.0
8200.0;80.25;10.0;0.0
8300.0;81.0;12.699999999999998;0.0
8400.0;83.0;11.949999999999996;0.0
8500.0;84.25;8.249999999999998;0.0
8600.0;82.0;9.249999999999998;0.0
8700.0;81.0;9.749999999999996;0.0
8800.0;83.0;10.149999999999999;0.0
8900.0;83.25;11.349999999999998;0.0
9000.0;84.75;8.899999999999999;0.0
9100.0;83.25;9.299999999999999;0.0
9200.0;80.25;12.199999999999998;0.0
9300.0;80.25;10.2;0.0
9400.0;84.25;11.149999999999997;0.0
9500.0;83.0;11.099999999999998;0.0
9600.0;83.25;11.549999999999997;0.0
9700.0;86.25;11.95;0.0
9800.0;80.75;12.749999999999996;0.0
9900.0;86.75;13.249999999999996;0.0
10000.0;81.5;12.849999999999998;0.0
10100.0;84.5;11.099999999999998;0.0
10200.0;81.25;9.849999999999998;0.0
10300.0;85.25;10.349999999999998;0.0
10400.0;83.5;10.449999999999998;0.0
10500.0;79.0;9.849999999999998;0.0
10600.0;78.75;9.349999999999998;0.0
10700.0;81.0;9.649999999999999;0.0
10800.0;84.25;9.599999999999998;0.0
10900.0;90.25;10.649999999999999;0.0
