time;load_on_edge;load_on_cloud;load_on_mobile
100.0;1387.5;0.0;0.0
200.0;1225.0;0.0;0.0
300.0;1525.0;0.0;0.0
400.0;2587.5;0.0;0.0
500.0;4412.5;0.0;0.0
600.0;6512.5;0.0;0.0
700.0;8475.0;0.0;0.0
800.0;9075.0;0.0;0.0
900.0;6675.0;0.0;0.0
1000.0;8912.5;1850.0;0.0
1100.0;8312.5;1850.0;0.0
1200.0;8612.5;1525.0;0.0
1300.0;8012.5;925.0;0.0
1400.0;7850.0;0.0;0.0
1500.0;7412.5;1525.0;0.0
1600.0;7850.0;3650.0;0.0
1700.0;7250.0;0.0;0.0
1800.0;7687.5;0.0;0.0
1900.0;8312.5;0.0;0.0
2000.0;9650.0;7900.0;0.0
2100.0;7412.5;5775.0;0.0
2200.0;5450.0;5775.0;0.0
2300.0;6187.5;3975.0;0.0
2400.0;6487.5;6375.0;0.0
2500.0;6187.5;2450.0;0.0
2600.0;8312.5;6375.0;0.0
2700.0;8012.5;4300.0;0.0
2800.0;8312.5;4575.0;0.0
2900.0;7250.0;6375.0;0.0
3000.0;6187.5;7900.0;0.0
3100.0;6512.5;6700.0;0.0
3200.0;6950.0;7300.0;0.0
3300.0;7987.5;10900.0;0.0
3400.0;9375.0;6700.0;0.0
3500.0;9975.0;8500.0;0.0
3600.0;11312.5;8775.0;0.0
3700.0;9975.0;5775.0;0.0
3800.0;10275.0;6375.0;0.0
3900.0;11012.5;5175.0;0.0
4000.0;11037.5;6100.0;0.0
4100.0;8012.5;3375.0;0.0
4200.0;7250.0;7900.0;0.0
4300.0;6950.0;5775.0;0.0
4400.0;6950.0;7575.0;0.0
4500.0;5612.5;4250.0;0.0
4600.0;6050.0;10900.0;0.0
4700.0;5725.0;12100.0;0.0
4800.0;5725.0;10900.0;0.0
4900.0;4825.0;11500.0;0.0
5000.0;4550.0;9375.0;0.0
5100.0;7275.0;13300.0;0.0
5200.0;6975.0;11500.0;0.0
5300.0;4687.5;11500.0;0.0
5400.0;4987.5;4300.0;0.0
5500.0;4987.5;12100.0;0.0
5600.0;12812.5;8775.0;0.0
5700.0;9325.0;13300.0;0.0
5800.0;11637.5;13575.0;0.0
5900.0;8912.5;15100.0;0.0
6000.0;9950.0;16300.0;0.0
6100.0;9812.5;6700.0;0.0
6200.0;10412.5;4575.0;0.0
6300.0;9512.5;11775.0;0.0
6400.0;9812.5;11175.0;0.0
6500.0;10275.0;18100.0;0.0
6600.0;8912.5;13300.0;0.0
6700.0;8150.0;9975.0;0.0
6800.0;8750.0;15100.0;0.0
6900.0;8337.5;6375.0;0.0
7000.0;6650.0;16900.0;0.0
7100.0;9375.0;13300.0;0.0
7200.0;7525.0;10575.0;0.0
7300.0;8912.5;13300.0;0.0
7400.0;8287.5;14500.0;0.0
7500.0;9350.0;21100.0;0.0
7600.0;9050.0;18100.0;0.0
7700.0;7550.0;16300.0;0.0
7800.0;7550.0;21100.0;0.0
7900.0;6950.0;18700.0;0.0
8000.0;9975.0;19900.0;0.0
8100.0;12650.0;25300.0;0.0
8200.0;11637.5;27700.0;0.0
8300.0;13137.5;31300.0;0.0
8400.0;17312.5;30100.0;0.0
8500.0;15675.0;21700.0;0.0
8600.0;23037.5;28900.0;0.0
8700.0;15512.5;33100.0;0.0
8800.0;15975.0;33700.0;0.0
8900.0;15375.0;24700.0;0.0
9000.0;16900.0;24700.0;0.0
9100.0;15537.5;27700.0;0.0
9200.0;13437.5;32500.0;0.0
9300.0;12950.0;40300.0;0.0
9400.0;12650.0;30700.0;0.0
9500.0;18975.0;28300.0;0.0
9600.0;11887.5;33100.0;0.0
9700.0;12975.0;31300.0;0.0
9800.0;12675.0;28900.0;0.0
9900.0;12675.0;28300.0;0.0
10000.0;11775.0;25300.0;0.0
10100.0;11912.5;26500.0;0.0
10200.0;13437.5;37300.0;0.0
10300.0;13112.5;34300.0;0.0
10400.0;13712.5;31300.0;0.0
10500.0;12975.0;16900.0;0.0
10600.0;16575.0;14775.0;0.0
10700.0;17337.5;28900.0;0.0
10800.0;17475.0;35500.0;0.0
10900.0;17337.5;39100.0;0.0
