time;wlan;wan;man
100.0;0.041;0.068;0.0
200.0;0.287;0.234;0.0
300.0;0.26;0.658;0.0
400.0;0.498;5.285;0.0
500.0;1.19;0.376;0.0
600.0;0.984;2.815;0.0
700.0;1.19;1.108;0.0
800.0;1.622;0.274;0.0
900.0;1.535;2.067;0.0
1000.0;5.338;4.111;0.0
1100.0;2.214;5.141;0.0
1200.0;2.301;0.004;0.0
1300.0;2.214;0.167;0.0
1400.0;2.255;0.057;0.0
1500.0;4.91;0.0;0.0
1600.0;2.388;0.287;0.0
1700.0;3.47;0.023;0.0
1800.0;4.141;1.088;0.0
1900.0;4.458;0.025;0.0
2000.0;3.544;0.108;0.0
2100.0;2.624;1.933;0.0
2200.0;2.624;0.001;0.0
2300.0;2.952;0.123;0.0
2400.0;2.831;2.885;0.0
2500.0;3.321;2.111;0.0
2600.0;3.406;3.603;0.0
2700.0;4.144;0.0;0.0
2800.0;3.854;0.024;0.0
2900.0;3.813;0.0;0.0
3000.0;3.908;0.043;0.0
3100.0;6.314;0.052;0.0
3200.0;4.264;4.881;0.0
3300.0;5.869;1.746;0.0
3400.0;5.096;3.452;0.0
3500.0;12.411;2.798;0.0
3600.0;5.038;0.016;0.0
3700.0;5.248;0.696;0.0
3800.0;6.976;1.563;0.0
3900.0;5.294;5.073;0.0
4000.0;5.425;1.1;0.0
4100.0;6.294;0.318;0.0
4200.0;8.582;2.753;0.0
4300.0;7.338;0.005;0.0
4400.0;5.988;0.113;0.0
4500.0;8.87;0.452;0.0
4600.0;6.696;1.858;0.0
4700.0;6.653;7.527;0.0
4800.0;7.172;4.566;0.0
4900.0;7.057;0.042;0.0
5000.0;7.593;0.094;0.0
5100.0;12.093;0.635;0.0
5200.0;8.667;3.192;0.0
5300.0;8.058;1.082;0.082
5400.0;9.681;1.061;0.164
5500.0;8.576;6.638;0.369
5600.0;11.875;1.396;0.123
5700.0;13.549;0.554;0.123
5800.0;10.187;0.01;0.41
5900.0;8.817;0.412;0.656
6000.0;10.759;2.124;1.23
6100.0;9.673;0.059;1.763
6200.0;14.643;1.694;3.936
6300.0;12.416;1.189;4.889
6400.0;9.468;4.442;3.844
6500.0;10.657;2.946;4.249
6600.0;9.291;7.348;4.019
6700.0;10.138;1.897;3.69
6800.0;14.436;2.05;8.542
6900.0;14.872;1.993;4.731
7000.0;10.185;3.774;4.592
7100.0;11.11;2.883;5.002
7200.0;9.036;4.577;4.69
7300.0;16.246;2.999;7.006
7400.0;10.03;4.126;4.556
7500.0;9.567;4.473;4.357
7600.0;11.903;2.362;5.415
7700.0;8.913;3.532;4.321
7800.0;8.726;3.203;3.97
7900.0;8.691;5.695;5.288
8000.0;8.409;12.698;5.079
8100.0;8.974;7.825;4.059
8200.0;10.036;5.42;5.988
8300.0;9.05;4.446;5.155
8400.0;12.428;4.264;8.847
8500.0;10.38;6.69;6.405
8600.0;10.576;7.719;3.526
8700.0;13.436;4.36;4.469
8800.0;10.142;6.336;4.756
8900.0;8.635;7.975;4.453
9000.0;8.774;7.937;3.977
9100.0;10.544;13.195;6.005
9200.0;8.454;4.801;4.437
9300.0;7.85;7.648;3.772
9400.0;13.454;8.198;6.386
9500.0;14.041;6.279;3.779
9600.0;9.396;6.827;5.088
9700.0;10.652;4.37;6.019
9800.0;10.375;4.91;5.043
9900.0;12.878;6.366;5.898
10000.0;9.676;7.009;5.125
10100.0;12.101;7.88;7.755
10200.0;11.37;7.407;4.223
10300.0;8.559;6.971;4.223
10400.0;9.909;7.92;5.801
10500.0;9.252;5.621;4.947
10600.0;9.843;6.137;5.618
10700.0;10.223;7.294;5.129
10800.0;10.684;7.65;6.31
10900.0;7.771;9.363;2.944
