time;ap0;ap1;ap2;ap3
100.0;58;60;36;46
200.0;58;60;36;46
300.0;58;60;36;46
400.0;58;60;36;46
500.0;58;60;36;46
600.0;58;60;36;46
700.0;58;60;36;46
800.0;58;60;36;46
900.0;58;60;36;46
1000.0;58;60;36;46
1100.0;58;60;36;46
1200.0;58;60;36;46
1300.0;58;60;36;46
1400.0;58;60;36;46
1500.0;58;60;36;46
1600.0;58;60;36;46
1700.0;58;60;36;46
1800.0;58;60;36;46
1900.0;58;60;36;46
2000.0;58;60;36;46
2100.0;58;60;36;46
2200.0;58;60;36;46
2300.0;58;60;36;46
2400.0;58;60;36;46
2500.0;58;60;36;46
2600.0;58;60;36;46
2700.0;58;60;36;46
2800.0;58;60;36;46
2900.0;58;60;36;46
3000.0;58;60;36;46
3100.0;58;60;36;46
3200.0;58;60;36;46
3300.0;58;60;36;46
3400.0;58;60;36;46
3500.0;58;60;36;46
3600.0;58;60;36;46
3700.0;58;60;36;46
3800.0;58;60;36;46
3900.0;58;59;36;47
4000.0;58;59;36;47
4100.0;58;59;36;47
4200.0;58;59;36;47
4300.0;58;59;36;47
4400.0;58;59;36;47
4500.0;58;59;36;47
4600.0;58;59;36;47
4700.0;58;59;36;47
4800.0;58;59;36;47
4900.0;58;59;36;47
5000.0;58;59;36;47
5100.0;58;59;36;47
5200.0;58;59;36;47
5300.0;58;59;36;47
5400.0;58;59;36;47
5500.0;58;59;36;47
5600.0;58;59;36;47
5700.0;58;59;36;47
5800.0;58;59;36;47
5900.0;58;59;36;47
6000.0;58;59;36;47
6100.0;58;59;36;47
6200.0;58;59;36;47
6300.0;58;59;36;47
6400.0;58;59;36;47
6500.0;58;59;36;47
6600.0;59;58;36;47
6700.0;59;58;36;47
6800.0;59;58;36;47
6900.0;59;58;36;47
7000.0;59;58;36;47
7100.0;59;58;36;47
7200.0;59;58;36;47
7300.0;59;58;36;47
7400.0;59;58;36;47
7500.0;59;58;36;47
7600.0;59;58;36;47
7700.0;59;58;36;47
7800.0;59;58;36;47
7900.0;59;58;36;47
8000.0;59;58;36;47
8100.0;59;58;36;47
8200.0;59;58;36;47
8300.0;59;58;36;47
8400.0;59;58;36;47
8500.0;59;58;36;47
8600.0;59;58;36;47
8700.0;59;58;36;47
8800.0;59;58;36;47
8900.0;60;58;35;47
9000.0;60;58;35;47
9100.0;60;57;35;48
9200.0;60;57;35;48
9300.0;60;57;35;48
9400.0;60;57;35;48
9500.0;60;57;35;48
9600.0;60;57;35;48
9700.0;60;57;35;48
9800.0;60;57;35;48
9900.0;60;57;35;48
10000.0;60;57;35;48
10100.0;60;57;35;48
10200.0;60;57;35;48
10300.0;60;57;35;48
10400.0;60;57;35;48
10500.0;60;57;35;48
10600.0;60;57;35;48
10700.0;60;57;35;48
10800.0;60;57;35;48
10900.0;60;57;35;48
