time;load_on_edge;load_on_cloud;load_on_mobile
100.0;0.0;0.75;0.0
200.0;0.0;1.0;0.0
300.0;0.0;1.0;0.0
400.0;1.5;1.75;0.0
500.0;4.5;2.25;0.0
600.0;3.5;3.25;0.0
700.0;4.25;4.25;0.0
800.0;4.5;3.25;0.0
900.0;5.75;2.0;0.0
1000.0;6.75;0.5;0.0
1100.0;5.75;1.5;0.0
1200.0;8.0;1.75;0.0
1300.0;6.0;1.75;0.0
1400.0;6.75;0.75;0.0
1500.0;8.25;0.75;0.0
1600.0;7.5;0.75;0.0
1700.0;6.25;0.0;0.0
1800.0;8.25;0.25;0.0
1900.0;8.75;0.0;0.0
2000.0;6.0;0.0;0.0
2100.0;6.0;1.0;0.0
2200.0;5.25;0.75;0.0
2300.0;7.5;1.0;0.0
2400.0;4.5;1.75;0.0
2500.0;7.5;1.5;0.0
2600.0;7.5;1.0;0.0
2700.0;7.0;0.0;0.0
2800.0;10.5;0.0;0.0
2900.0;7.5;0.25;0.0
3000.0;8.25;0.25;0.0
3100.0;8.5;0.75;0.0
3200.0;12.25;1.25;0.0
3300.0;12.25;1.0;0.0
3400.0;10.75;0.25;0.0
3500.0;11.75;0.5;0.0
3600.0;12.0;0.25;0.0
3700.0;13.0;0.5;0.0
3800.0;13.0;0.5;0.0
3900.0;15.25;1.0;0.0
4000.0;15.25;1.25;0.0
4100.0;15.5;2.75;0.0
4200.0;17.5;3.0;0.0
4300.0;16.25;1.5;0.0
4400.0;14.25;1.75;0.0
4500.0;20.5;1.0;0.0
4600.0;22.0;0.5;0.0
4700.0;18.75;0.5;0.0
4800.0;19.5;1.5;0.0
4900.0;21.25;1.0;0.0
5000.0;24.75;1.0;0.0
5100.0;24.0;2.25;0.0
5200.0;26.0;2.25;0.0
5300.0;26.0;2.0;0.0
5400.0;26.25;1.0;0.0
5500.0;26.75;1.75;0.0
5600.0;22.5;1.0;0.0
5700.0;29.5;0.25;0.0
5800.0;26.0;1.0;0.0
5900.0;22.25;1.0;0.0
6000.0;26.5;1.75;0.0
6100.0;27.0;0.75;0.0
6200.0;29.5;0.75;0.0
6300.0;22.75;2.25;0.0
6400.0;38.5;2.25;0.0
6500.0;43.75;1.25;0.0
6600.0;40.5;0.25;0.0
6700.0;40.5;0.75;0.0
6800.0;56.0;1.0;0.0
6900.0;45.5;1.25;0.0
7000.0;52.5;1.75;0.0
7100.0;47.0;1.5;0.0
7200.0;44.5;1.75;0.0
7300.0;51.25;1.25;0.0
7400.0;39.75;1.5;0.0
7500.0;45.25;1.75;0.0
7600.0;51.0;2.0;0.0
7700.0;58.75;1.5;0.0
7800.0;66.0;0.75;0.0
7900.0;64.5;0.5;0.0
8000.0;62.5;1.5;0.0
8100.0;63.0;2.0;0.0
8200.0;62.75;2.0;0.0
8300.0;63.0;2.25;0.0
8400.0;67.5;2.15;0.0
8500.0;67.75;1.4;0.0
8600.0;67.75;1.25;0.0
8700.0;72.0;3.1;0.0
8800.0;70.0;3.35;0.0
8900.0;61.75;2.75;0.0
9000.0;68.0;1.75;0.0
9100.0;72.5;1.9;0.0
9200.0;69.5;3.05;0.0
9300.0;70.25;2.5;0.0
9400.0;63.0;1.8;0.0
9500.0;67.5;2.15;0.0
9600.0;67.75;3.5500000000000003;0.0
9700.0;64.75;3.25;0.0
9800.0;63.5;2.25;0.0
9900.0;67.75;2.25;0.0
10000.0;67.75;2.1;0.0
10100.0;68.75;0.8;0.0
10200.0;66.25;0.5;0.0
10300.0;61.0;0.5;0.0
10400.0;68.5;1.1;0.0
10500.0;76.75;3.8;0.0
10600.0;69.5;3.1;0.0
10700.0;66.5;3.8000000000000003;0.0
10800.0;67.5;1.75;0.0
10900.0;67.0;3.5;0.0
