time;ap0;ap1;ap2;ap3
100.0;415;398;396;391
200.0;415;398;396;391
300.0;415;398;396;391
400.0;416;398;395;391
500.0;416;398;395;391
600.0;416;398;395;391
700.0;416;399;395;390
800.0;416;399;395;390
900.0;416;399;395;390
1000.0;414;399;395;392
1100.0;414;399;395;392
1200.0;414;399;395;392
1300.0;414;399;395;392
1400.0;414;399;395;392
1500.0;414;399;395;392
1600.0;414;399;395;392
1700.0;414;399;395;392
1800.0;414;399;395;392
1900.0;414;399;395;392
2000.0;415;399;394;392
2100.0;415;399;394;392
2200.0;415;399;394;392
2300.0;415;399;394;392
2400.0;414;399;395;392
2500.0;414;399;395;392
2600.0;415;398;395;392
2700.0;415;398;395;392
2800.0;415;398;395;392
2900.0;415;398;395;392
3000.0;416;397;395;392
3100.0;416;397;395;392
3200.0;416;397;395;392
3300.0;416;397;395;392
3400.0;416;397;395;392
3500.0;415;398;395;392
3600.0;415;398;395;392
3700.0;415;398;394;393
3800.0;415;398;394;393
3900.0;415;398;394;393
4000.0;415;398;394;393
4100.0;415;398;395;392
4200.0;415;398;395;392
4300.0;415;399;395;391
4400.0;415;399;395;391
4500.0;415;399;395;391
4600.0;415;398;395;392
4700.0;415;398;395;392
4800.0;413;399;396;392
4900.0;413;399;396;392
5000.0;412;399;396;393
5100.0;412;399;396;393
5200.0;412;399;396;393
5300.0;412;399;396;393
5400.0;412;399;396;393
5500.0;412;399;396;393
5600.0;412;399;396;393
5700.0;412;399;396;393
5800.0;412;400;395;393
5900.0;412;400;395;393
6000.0;412;400;395;393
6100.0;412;400;395;393
6200.0;412;400;395;393
6300.0;412;400;395;393
6400.0;412;400;395;393
6500.0;412;400;395;393
6600.0;412;400;395;393
6700.0;412;400;395;393
6800.0;412;400;395;393
6900.0;412;400;395;393
7000.0;412;400;395;393
7100.0;412;400;395;393
7200.0;412;400;395;393
7300.0;413;400;394;393
7400.0;413;400;394;393
7500.0;413;400;394;393
7600.0;413;400;394;393
7700.0;413;400;394;393
7800.0;413;400;394;393
7900.0;413;400;395;392
8000.0;413;400;395;392
8100.0;413;400;395;392
8200.0;413;400;395;392
8300.0;413;399;396;392
8400.0;413;400;395;392
8500.0;413;400;395;392
8600.0;413;400;395;392
8700.0;413;400;395;392
8800.0;413;400;395;392
8900.0;413;400;395;392
9000.0;413;401;394;392
9100.0;413;401;394;392
9200.0;413;401;394;392
9300.0;413;401;394;392
9400.0;413;401;394;392
9500.0;413;401;394;392
9600.0;414;401;393;392
9700.0;414;401;393;392
9800.0;414;401;393;392
9900.0;414;400;393;393
10000.0;414;400;393;393
10100.0;414;400;393;393
10200.0;413;401;393;393
10300.0;413;401;393;393
10400.0;413;401;393;393
10500.0;413;401;393;393
10600.0;412;401;393;394
10700.0;412;401;393;394
10800.0;412;401;393;394
10900.0;412;401;393;394
