time;wlan;wan;man
100.0;0.042;0.0;0.042
200.0;0.134;0.0;0.134
300.0;0.791;0.0;0.791
400.0;1.46;0.0;1.46
500.0;0.688;0.0;0.656
600.0;3.512;0.0;0.62
700.0;0.861;0.0;0.656
800.0;0.821;0.0;0.657
900.0;1.003;0.0;0.715
1000.0;8.729;0.0;8.401
1100.0;4.904;0.0;4.535
1200.0;1.28;0.0;0.87
1300.0;1.322;0.0;0.953
1400.0;2.997;0.0;2.669
1500.0;3.905;0.0;3.618
1600.0;1.322;0.0;0.99
1700.0;1.253;0.0;0.966
1800.0;3.075;0.0;1.066
1900.0;2.435;0.0;2.148
2000.0;4.494;0.0;3.19
2100.0;3.274;0.0;2.987
2200.0;1.395;0.0;1.067
2300.0;1.517;0.0;1.179
2400.0;1.478;0.0;0.986
2500.0;1.816;0.0;1.148
2600.0;1.871;0.0;1.215
2700.0;1.968;0.0;1.23
2800.0;3.138;0.0;2.232
2900.0;2.296;0.0;1.435
3000.0;2.498;0.0;1.582
3100.0;4.409;0.0;1.859
3200.0;3.743;0.0;2.759
3300.0;2.952;0.0;1.968
3400.0;3.091;0.0;1.737
3500.0;3.182;0.0;1.87
3600.0;3.766;0.0;2.318
3700.0;3.567;0.0;2.296
3800.0;11.516;0.0;10.368
3900.0;4.201;0.0;3.135
4000.0;4.723;0.0;2.637
4100.0;5.226;0.0;4.201
4200.0;6.95;0.0;4.524
4300.0;5.825;0.0;3.706
4400.0;5.717;0.0;4.367
4500.0;7.177;0.0;5.906
4600.0;4.934;0.0;3.867
4700.0;5.041;0.0;3.975
4800.0;7.339;0.082;5.904
4900.0;6.335;0.0;3.897
5000.0;5.102;0.123;3.643
5100.0;5.205;0.041;3.832
5200.0;5.99;0.082;4.555
5300.0;7.748;0.0;6.374
5400.0;7.917;0.287;6.646
5500.0;9.516;0.562;8.532
5600.0;5.136;0.205;3.865
5700.0;7.838;0.329;5.876
5800.0;5.002;1.679;3.567
5900.0;8.431;0.451;5.337
6000.0;6.388;0.91;4.855
6100.0;7.872;0.851;6.712
6200.0;11.685;1.025;5.321
6300.0;11.294;1.568;10.187
6400.0;3.985;2.788;3.142
6500.0;3.526;3.732;2.747
6600.0;11.667;3.567;9.376
6700.0;2.912;4.715;2.215
6800.0;12.369;4.347;7.804
6900.0;3.854;4.51;2.747
7000.0;6.115;4.264;5.049
7100.0;7.065;3.69;5.876
7200.0;4.158;5.699;3.379
7300.0;5.673;4.037;2.814
7400.0;8.924;4.961;6.122
7500.0;4.266;4.592;3.381
7600.0;5.651;5.071;4.141
7700.0;4.928;4.223;3.37
7800.0;5.708;4.141;4.396
7900.0;5.192;3.977;4.018
8000.0;6.479;5.811;4.516
8100.0;4.114;5.733;3.13
8200.0;5.836;5.196;3.789
8300.0;8.445;4.929;6.003
8400.0;9.355;4.808;8.059
8500.0;9.135;6.139;6.364
8600.0;8.051;4.797;4.626
8700.0;6.543;4.305;3.765
8800.0;5.393;5.207;4.056
8900.0;5.125;4.182;3.567
9000.0;5.299;3.936;3.905
9100.0;6.096;4.51;5.071
9200.0;6.86;4.264;5.548
9300.0;8.794;6.075;7.53
9400.0;6.39;4.059;4.873
9500.0;5.684;4.838;3.837
9600.0;5.774;5.002;4.339
9700.0;10.44;5.453;9.415
9800.0;6.464;5.182;3.526
9900.0;6.346;8.84;4.993
10000.0;6.021;5.453;4.381
10100.0;5.168;5.551;3.938
10200.0;4.555;6.232;3.318
10300.0;7.607;6.068;3.926
10400.0;5.298;4.998;3.69
10500.0;4.682;6.937;3.329
10600.0;5.331;6.35;3.28
10700.0;4.838;5.412;3.69
10800.0;4.592;4.881;3.116
10900.0;3.223;5.258;2.28
