time;wlan;wan;man
100.0;0.109;0.0;0.101
200.0;0.339;0.0;0.298
300.0;1.082;0.0;0.959
400.0;5.394;0.0;4.303
500.0;1.894;0.0;1.862
600.0;4.13;0.0;4.002
700.0;1.804;0.0;1.51
800.0;2.262;0.0;1.828
900.0;3.835;0.0;3.424
1000.0;11.354;0.0;11.004
1100.0;6.585;0.0;6.052
1200.0;3.062;0.0;2.192
1300.0;3.089;0.0;2.669
1400.0;4.883;0.0;4.268
1500.0;4.354;0.0;2.563
1600.0;7.136;0.0;4.051
1700.0;5.334;0.0;3.813
1800.0;5.29;0.0;4.347
1900.0;7.46;0.0;4.625
2000.0;5.629;0.0;4.682
2100.0;4.835;0.533;4.507
2200.0;5.837;0.41;5.135
2300.0;4.685;0.246;3.74
2400.0;2.954;0.822;2.216
2500.0;2.68;1.763;2.065
2600.0;5.97;1.234;5.396
2700.0;3.43;1.435;2.856
2800.0;4.455;1.643;3.84
2900.0;4.337;1.807;3.599
3000.0;4.088;2.115;3.432
3100.0;4.407;2.842;3.833
3200.0;3.755;6.385;2.812
3300.0;3.451;6.096;2.888
3400.0;2.501;7.37;1.968
3500.0;3.321;7.88;2.419
3600.0;6.384;5.105;5.564
3700.0;6.532;3.731;5.22
3800.0;11.828;5.213;10.803
3900.0;10.952;4.283;8.486
4000.0;3.227;6.522;2.571
4100.0;7.394;5.176;5.371
4200.0;5.648;4.135;3.397
4300.0;5.625;6.914;4.313
4400.0;8.603;10.156;7.168
4500.0;7.353;3.531;5.761
4600.0;7.903;7.804;7.0
4700.0;5.307;12.496;4.282
4800.0;7.612;9.524;3.84
4900.0;4.573;9.931;3.215
5000.0;5.122;5.121;3.96
5100.0;5.047;8.51;3.648
5200.0;8.559;7.368;7.634
5300.0;7.996;6.28;7.34
5400.0;5.038;6.192;4.095
5500.0;7.52;10.403;6.577
5600.0;9.697;13.386;8.959
5700.0;8.408;8.947;7.301
5800.0;5.199;6.971;4.42
5900.0;4.658;7.601;3.485
6000.0;6.134;6.511;5.224
6100.0;3.667;7.937;2.911
6200.0;12.433;9.323;6.961
6300.0;7.334;11.32;6.473
6400.0;2.913;11.367;2.093
6500.0;6.398;13.262;3.595
6600.0;9.986;11.897;8.879
6700.0;4.605;12.38;2.501
6800.0;3.116;13.982;2.173
6900.0;8.475;15.147;6.902
7000.0;3.405;19.196;2.708
7100.0;4.773;15.823;2.296
7200.0;7.368;16.064;4.613
7300.0;4.903;18.768;3.755
7400.0;4.469;17.945;3.567
7500.0;4.694;15.202;3.421
7600.0;4.312;16.488;3.41
7700.0;5.652;17.03;4.586
7800.0;5.726;24.115;4.252
7900.0;5.626;19.399;4.56
8000.0;7.075;16.228;5.763
8100.0;4.72;17.753;3.449
8200.0;12.186;17.445;9.109
8300.0;4.772;18.657;3.337
8400.0;4.922;16.687;3.526
8500.0;6.718;16.937;5.721
8600.0;7.754;16.086;5.556
8700.0;7.993;19.015;4.885
8800.0;7.077;16.778;5.97
8900.0;6.191;18.434;5.371
9000.0;7.873;16.769;6.425
9100.0;11.633;15.785;7.531
9200.0;8.644;21.685;6.568
9300.0;11.523;17.656;8.708
9400.0;8.2;16.564;5.336
9500.0;10.306;17.394;7.815
9600.0;9.86;16.209;8.383
9700.0;6.724;19.241;5.453
9800.0;8.359;17.004;6.995
9900.0;7.929;19.331;6.061
10000.0;7.616;16.677;6.017
10100.0;8.329;18.532;6.894
10200.0;9.111;17.486;7.02
10300.0;7.729;15.867;5.802
10400.0;10.463;16.926;6.396
10500.0;7.93;16.687;5.839
10600.0;6.806;15.78;5.248
10700.0;6.95;14.553;5.433
10800.0;6.806;13.551;5.125
10900.0;10.31;10.907;8.851
