time;ap0;ap1;ap2;ap3
100.0;473;506;523;498
200.0;473;506;523;498
300.0;473;506;523;498
400.0;472;506;523;499
500.0;472;505;524;499
600.0;472;505;524;499
700.0;472;505;524;499
800.0;472;505;524;499
900.0;472;505;524;499
1000.0;472;505;524;499
1100.0;472;506;523;499
1200.0;472;506;523;499
1300.0;472;506;523;499
1400.0;473;506;523;498
1500.0;473;506;523;498
1600.0;473;505;524;498
1700.0;473;505;524;498
1800.0;473;505;524;498
1900.0;473;505;524;498
2000.0;473;505;523;499
2100.0;473;505;523;499
2200.0;473;505;523;499
2300.0;474;505;522;499
2400.0;475;504;523;498
2500.0;475;504;523;498
2600.0;475;504;523;498
2700.0;475;504;523;498
2800.0;475;504;523;498
2900.0;475;504;523;498
3000.0;475;504;523;498
3100.0;475;504;524;497
3200.0;475;504;523;498
3300.0;474;505;524;497
3400.0;474;505;524;497
3500.0;474;505;524;497
3600.0;474;505;524;497
3700.0;475;505;524;496
3800.0;475;505;524;496
3900.0;475;505;524;496
4000.0;475;505;524;496
4100.0;475;505;524;496
4200.0;475;505;524;496
4300.0;475;505;524;496
4400.0;475;505;524;496
4500.0;476;505;525;494
4600.0;476;505;525;494
4700.0;476;505;525;494
4800.0;476;505;525;494
4900.0;476;504;525;495
5000.0;475;505;525;495
5100.0;475;505;525;495
5200.0;475;505;525;495
5300.0;475;505;525;495
5400.0;475;505;524;496
5500.0;476;504;524;496
5600.0;476;504;524;496
5700.0;475;504;524;497
5800.0;475;504;524;497
5900.0;475;504;524;497
6000.0;475;504;524;497
6100.0;475;504;524;497
6200.0;474;504;524;498
6300.0;474;503;524;499
6400.0;474;504;523;499
6500.0;474;504;523;499
6600.0;474;504;523;499
6700.0;474;504;523;499
6800.0;474;504;523;499
6900.0;475;504;523;498
7000.0;475;504;522;499
7100.0;475;504;522;499
7200.0;475;504;522;499
7300.0;475;504;522;499
7400.0;476;506;520;498
7500.0;476;506;520;498
7600.0;476;506;520;498
7700.0;477;506;520;497
7800.0;477;506;520;497
7900.0;477;506;520;497
8000.0;477;506;520;497
8100.0;477;507;520;496
8200.0;476;508;520;496
8300.0;476;508;520;496
8400.0;475;509;520;496
8500.0;476;509;519;496
8600.0;476;510;519;495
8700.0;476;510;519;495
8800.0;476;510;519;495
8900.0;477;509;518;496
9000.0;476;510;518;496
9100.0;477;511;519;493
9200.0;477;511;519;493
9300.0;477;511;519;493
9400.0;477;511;519;493
9500.0;477;512;519;492
9600.0;477;512;519;492
9700.0;476;512;520;492
9800.0;476;512;521;491
9900.0;476;512;521;491
10000.0;476;512;521;491
10100.0;476;512;521;491
10200.0;476;512;521;491
10300.0;476;513;520;491
10400.0;476;513;520;491
10500.0;476;513;520;491
10600.0;476;513;520;491
10700.0;476;513;520;491
10800.0;476;513;520;491
10900.0;476;514;520;490
