time;load_on_edge;load_on_cloud;load_on_mobile
100.0;3.75;0.0;0.0
200.0;6.25;0.0;0.0
300.0;7.5;0.0;0.0
400.0;12.5;0.0;0.0
500.0;12.75;0.0;0.0
600.0;12.0;0.0;0.0
700.0;14.75;0.0;0.0
800.0;13.25;0.0;0.0
900.0;15.25;0.0;0.0
1000.0;17.5;0.0;0.0
1100.0;21.0;0.0;0.0
1200.0;25.5;0.0;0.0
1300.0;24.25;0.0;0.0
1400.0;25.0;0.0;0.0
1500.0;24.5;0.0;0.0
1600.0;24.25;0.0;0.0
1700.0;22.5;0.0;0.0
1800.0;25.25;0.0;0.0
1900.0;25.0;0.0;0.0
2000.0;22.5;0.0;0.0
2100.0;26.75;0.0;0.0
2200.0;27.5;0.0;0.0
2300.0;26.75;0.0;0.0
2400.0;28.0;0.0;0.0
2500.0;28.75;0.0;0.0
2600.0;26.0;0.0;0.0
2700.0;23.75;0.0;0.0
2800.0;23.75;0.0;0.0
2900.0;24.25;0.0;0.0
3000.0;25.75;0.0;0.0
3100.0;29.0;0.0;0.0
3200.0;30.75;0.0;0.0
3300.0;34.5;0.0;0.0
3400.0;32.25;0.0;0.0
3500.0;34.25;0.0;0.0
3600.0;37.0;0.0;0.0
3700.0;34.75;0.0;0.0
3800.0;34.75;0.0;0.0
3900.0;39.5;0.0;0.0
4000.0;40.0;0.0;0.0
4100.0;41.5;0.0;0.0
4200.0;42.5;0.0;0.0
4300.0;45.0;0.0;0.0
4400.0;41.5;0.0;0.0
4500.0;44.5;0.0;0.0
4600.0;43.25;0.0;0.0
4700.0;44.0;0.0;0.0
4800.0;51.5;0.0;0.0
4900.0;50.25;0.0;0.0
5000.0;51.0;0.0;0.0
5100.0;51.75;0.0;0.0
5200.0;51.75;0.0;0.0
5300.0;51.75;0.0;0.0
5400.0;46.5;0.0;0.0
5500.0;49.0;0.0;0.0
5600.0;48.0;0.0;0.0
5700.0;51.0;0.0;0.0
5800.0;47.5;0.0;0.0
5900.0;49.0;0.0;0.0
6000.0;45.5;0.0;0.0
6100.0;48.0;0.0;0.0
6200.0;49.75;0.0;0.0
6300.0;55.5;0.0;0.0
6400.0;61.5;0.0;0.0
6500.0;57.25;0.0;0.0
6600.0;55.5;0.0;0.0
6700.0;57.75;0.0;0.0
6800.0;58.75;0.0;0.0
6900.0;55.75;0.0;0.0
7000.0;59.75;0.0;0.0
7100.0;59.5;0.0;0.0
7200.0;63.5;0.0;0.0
7300.0;58.5;0.0;0.0
7400.0;61.75;0.0;0.0
7500.0;63.75;0.0;0.0
7600.0;59.25;0.0;0.0
7700.0;59.75;0.0;0.0
7800.0;57.75;0.0;0.0
7900.0;53.0;0.0;0.0
8000.0;65.5;0.0;0.0
8100.0;53.75;0.0;0.0
8200.0;59.25;0.0;0.0
8300.0;60.75;0.0;0.0
8400.0;56.0;0.0;0.0
8500.0;55.0;0.0;0.0
8600.0;54.0;0.0;0.0
8700.0;63.5;0.0;0.0
8800.0;63.75;0.0;0.0
8900.0;76.0;0.0;0.0
9000.0;70.0;0.0;0.0
9100.0;63.0;0.0;0.0
9200.0;61.25;0.0;0.0
9300.0;68.75;0.0;0.0
9400.0;74.25;0.0;0.0
9500.0;75.5;0.0;0.0
9600.0;70.5;0.0;0.0
9700.0;75.75;0.0;0.0
9800.0;76.0;0.0;0.0
9900.0;76.75;0.0;0.0
10000.0;76.25;0.0;0.0
10100.0;75.25;0.0;0.0
10200.0;75.75;0.0;0.0
10300.0;73.75;0.25;0.0
10400.0;73.75;0.25;0.0
10500.0;77.75;0.25;0.0
10600.0;75.25;0.25;0.0
10700.0;76.25;0.0;0.0
10800.0;77.25;0.0;0.0
10900.0;80.25;0.0;0.0
