time;ap0;ap1;ap2;ap3
100.0;262;250;261;227
200.0;262;250;261;227
300.0;262;250;261;227
400.0;262;250;261;227
500.0;262;250;261;227
600.0;262;250;261;227
700.0;262;250;261;227
800.0;262;250;261;227
900.0;262;250;261;227
1000.0;262;250;261;227
1100.0;262;250;261;227
1200.0;262;250;261;227
1300.0;262;250;261;227
1400.0;262;250;261;227
1500.0;261;250;262;227
1600.0;261;250;262;227
1700.0;261;250;262;227
1800.0;261;250;262;227
1900.0;261;250;262;227
2000.0;261;250;262;227
2100.0;261;250;262;227
2200.0;261;250;262;227
2300.0;261;250;262;227
2400.0;261;250;262;227
2500.0;260;250;263;227
2600.0;260;250;263;227
2700.0;260;250;263;227
2800.0;260;250;263;227
2900.0;259;250;264;227
3000.0;259;250;264;227
3100.0;260;250;263;227
3200.0;260;250;263;227
3300.0;260;250;263;227
3400.0;259;250;263;228
3500.0;259;250;263;228
3600.0;259;250;263;228
3700.0;259;250;263;228
3800.0;259;250;263;228
3900.0;259;250;263;228
4000.0;259;250;263;228
4100.0;259;249;264;228
4200.0;259;249;264;228
4300.0;260;249;263;228
4400.0;260;249;263;228
4500.0;260;250;262;228
4600.0;261;250;262;227
4700.0;262;249;262;227
4800.0;262;249;262;227
4900.0;262;249;262;227
5000.0;262;249;262;227
5100.0;262;249;262;227
5200.0;262;249;262;227
5300.0;262;249;262;227
5400.0;262;249;261;228
5500.0;262;249;261;228
5600.0;262;248;261;229
5700.0;262;248;261;229
5800.0;262;248;261;229
5900.0;262;248;261;229
6000.0;262;248;261;229
6100.0;262;248;261;229
6200.0;262;248;261;229
6300.0;262;248;261;229
6400.0;262;248;261;229
6500.0;262;248;261;229
6600.0;262;249;261;228
6700.0;263;248;261;228
6800.0;263;248;261;228
6900.0;263;248;261;228
7000.0;263;248;262;227
7100.0;264;248;261;227
7200.0;264;248;261;227
7300.0;264;248;261;227
7400.0;264;248;261;227
7500.0;264;248;261;227
7600.0;264;248;261;227
7700.0;264;248;261;227
7800.0;264;248;261;227
7900.0;264;248;261;227
8000.0;264;248;261;227
8100.0;264;248;261;227
8200.0;264;248;261;227
8300.0;264;248;261;227
8400.0;264;248;261;227
8500.0;264;248;261;227
8600.0;264;248;261;227
8700.0;264;248;261;227
8800.0;264;248;261;227
8900.0;264;248;261;227
9000.0;264;248;262;226
9100.0;264;248;262;226
9200.0;264;248;262;226
9300.0;264;248;262;226
9400.0;264;248;261;227
9500.0;264;248;261;227
9600.0;264;248;261;227
9700.0;264;248;261;227
9800.0;264;248;261;227
9900.0;264;248;261;227
10000.0;264;248;261;227
10100.0;264;248;262;226
10200.0;264;249;262;225
10300.0;264;249;262;225
10400.0;263;249;262;226
10500.0;263;249;262;226
10600.0;263;249;262;226
10700.0;263;249;262;226
10800.0;263;250;261;226
10900.0;264;250;260;226
