time;wlan;wan;man
100.0;0.0;0.109;0.0
200.0;0.123;0.398;0.0
300.0;0.123;1.811;0.041
400.0;0.205;5.736;0.164
500.0;0.492;2.947;0.328
600.0;0.615;3.351;0.287
700.0;0.779;1.88;0.328
800.0;0.902;1.684;0.451
900.0;0.738;3.836;0.328
1000.0;0.779;4.552;0.205
1100.0;0.861;8.618;0.287
1200.0;0.865;1.686;0.373
1300.0;0.584;1.971;0.297
1400.0;0.779;1.64;0.328
1500.0;0.738;1.825;0.369
1600.0;0.908;1.556;0.621
1700.0;0.753;1.704;0.466
1800.0;1.231;3.552;0.692
1900.0;2.918;3.306;0.41
2000.0;0.861;1.967;0.287
2100.0;0.902;3.658;0.287
2200.0;1.107;2.744;0.451
2300.0;1.312;2.009;0.656
2400.0;1.15;4.894;0.535
2500.0;1.558;4.586;0.82
2600.0;0.984;6.041;0.451
2700.0;1.394;2.487;0.779
2800.0;1.843;3.138;1.02
2900.0;1.189;3.641;0.492
3000.0;3.468;6.39;0.705
3100.0;3.604;5.957;2.756
3200.0;1.053;15.304;0.602
3300.0;0.984;9.258;0.287
3400.0;1.599;9.266;0.697
3500.0;1.316;6.394;0.578
3600.0;1.533;6.494;0.795
3700.0;1.435;4.849;0.697
3800.0;1.192;14.74;0.495
3900.0;5.726;5.997;4.947
4000.0;1.435;6.267;0.861
4100.0;2.36;9.806;1.458
4200.0;1.709;6.563;0.848
4300.0;2.009;6.0;1.189
4400.0;2.324;12.847;1.299
4500.0;2.839;10.227;1.773
4600.0;1.845;10.537;0.902
4700.0;2.016;11.693;0.95
4800.0;1.845;12.629;1.107
4900.0;1.9;14.254;1.285
5000.0;1.968;6.925;1.025
5100.0;2.214;8.525;1.189
5200.0;2.808;8.509;1.762
5300.0;2.501;11.899;1.114
5400.0;2.347;13.242;1.486
5500.0;2.899;12.691;1.505
5600.0;4.289;9.65;2.977
5700.0;2.549;11.431;1.483
5800.0;2.009;12.388;0.984
5900.0;2.731;7.642;1.312
6000.0;1.722;10.2;0.861
6100.0;2.2;9.576;0.984
6200.0;2.631;12.458;1.106
6300.0;3.518;12.136;2.001
6400.0;2.052;9.646;0.902
6500.0;5.183;13.444;1.763
6600.0;2.445;15.82;0.943
6700.0;2.132;11.291;0.861
6800.0;2.911;15.644;1.271
6900.0;2.472;12.164;1.16
7000.0;1.722;12.216;0.615
7100.0;2.748;10.608;1.272
7200.0;3.42;16.855;1.944
7300.0;3.034;11.179;1.558
7400.0;2.627;13.388;1.233
7500.0;2.808;11.073;1.209
7600.0;3.576;12.727;1.977
7700.0;2.638;11.015;0.957
7800.0;4.344;13.967;2.376
7900.0;2.829;11.045;0.861
8000.0;2.833;11.87;1.07
8100.0;2.579;12.471;1.185
8200.0;3.116;10.741;1.517
8300.0;3.157;15.873;1.476
8400.0;2.871;16.161;1.231
8500.0;2.747;12.919;1.271
8600.0;2.923;23.862;1.201
8700.0;3.527;12.634;1.436
8800.0;4.002;17.802;2.362
8900.0;3.459;14.989;1.696
9000.0;2.398;18.552;1.414
9100.0;6.869;16.55;5.475
9200.0;4.317;13.338;2.513
9300.0;2.255;14.303;0.902
9400.0;4.312;19.16;2.713
9500.0;2.911;17.67;1.312
9600.0;4.27;22.134;2.343
9700.0;3.28;13.827;1.599
9800.0;3.038;12.942;1.639
9900.0;3.157;14.11;1.517
10000.0;4.374;13.429;1.312
10100.0;3.289;16.056;1.362
10200.0;3.947;15.201;2.348
10300.0;4.553;14.969;1.763
10400.0;3.403;15.996;1.558
10500.0;3.87;20.292;2.025
10600.0;2.501;16.851;1.271
10700.0;2.829;15.996;1.353
10800.0;3.167;17.183;1.281
10900.0;3.474;19.055;2.285
