time;wlan;wan;man
100.0;0.0;0.109;0.0
200.0;0.123;1.448;0.123
300.0;0.863;0.096;0.205
400.0;3.764;2.019;3.764
500.0;0.672;2.521;0.549
600.0;0.369;4.227;0.246
700.0;0.541;1.548;0.459
800.0;1.13;0.5;0.966
900.0;0.944;2.52;0.78
1000.0;1.025;4.89;0.984
1100.0;1.025;5.834;0.943
1200.0;1.23;0.952;1.066
1300.0;1.189;1.089;1.066
1400.0;1.23;0.918;1.107
1500.0;1.189;0.964;1.025
1600.0;1.195;1.234;1.031
1700.0;1.148;0.966;1.025
1800.0;1.312;2.195;1.066
1900.0;1.394;1.133;1.148
2000.0;1.232;1.459;1.027
2100.0;0.943;3.479;0.738
2200.0;1.07;1.641;0.906
2300.0;1.262;1.649;1.016
2400.0;1.148;1.685;0.82
2500.0;0.996;2.173;0.709
2600.0;0.864;3.703;0.536
2700.0;1.271;2.05;0.902
2800.0;1.745;4.126;1.561
2900.0;1.066;2.458;0.943
3000.0;0.834;2.555;0.615
3100.0;0.943;5.359;0.656
3200.0;0.902;4.603;0.656
3300.0;1.025;4.303;0.779
3400.0;1.189;5.599;0.779
3500.0;1.23;4.104;0.984
3600.0;1.107;7.647;0.861
3700.0;3.785;5.151;3.662
3800.0;1.234;6.852;1.193
3900.0;6.521;5.043;6.234
4000.0;1.971;4.886;1.602
4100.0;3.229;6.546;2.651
4200.0;2.455;6.056;1.717
4300.0;2.434;5.253;1.573
4400.0;2.261;7.168;1.318
4500.0;3.328;4.972;2.426
4600.0;3.254;7.539;2.72
4700.0;2.78;13.122;1.972
4800.0;2.397;9.867;1.905
4900.0;3.24;5.147;2.83
5000.0;4.051;6.907;2.426
5100.0;2.89;6.232;2.184
5200.0;3.208;7.102;2.429
5300.0;5.014;7.968;4.235
5400.0;4.779;6.228;4.057
5500.0;6.092;7.669;4.747
5600.0;7.943;6.626;5.187
5700.0;3.533;6.828;2.426
5800.0;3.577;7.624;2.511
5900.0;7.893;6.138;6.077
6000.0;3.717;6.959;3.225
6100.0;4.313;15.532;3.534
6200.0;8.241;6.269;5.839
6300.0;4.346;8.808;3.116
6400.0;7.391;7.479;6.448
6500.0;6.867;8.846;3.693
6600.0;6.025;11.864;4.59
6700.0;4.661;16.94;3.554
6800.0;6.107;7.012;4.959
6900.0;6.221;12.6;5.319
7000.0;4.537;9.922;3.635
7100.0;4.282;9.741;2.875
7200.0;6.035;14.914;3.699
7300.0;6.093;8.043;4.863
7400.0;7.242;11.029;5.73
7500.0;4.846;10.888;3.411
7600.0;5.246;8.906;4.016
7700.0;5.371;11.209;3.731
7800.0;5.535;7.418;4.018
7900.0;5.741;14.234;3.683
8000.0;5.453;17.741;4.223
8100.0;5.718;14.318;4.693
8200.0;5.699;13.384;4.264
8300.0;4.926;11.205;3.983
8400.0;5.434;9.186;4.126
8500.0;6.821;11.648;5.381
8600.0;7.599;10.647;5.47
8700.0;7.101;11.046;5.584
8800.0;5.934;11.046;4.622
8900.0;7.07;9.331;5.307
9000.0;10.402;11.286;7.735
9100.0;5.62;11.662;3.898
9200.0;5.894;10.582;4.544
9300.0;10.544;10.779;5.414
9400.0;7.544;15.263;5.412
9500.0;7.092;11.229;5.18
9600.0;8.805;15.239;6.731
9700.0;9.616;9.923;5.628
9800.0;7.325;11.094;5.521
9900.0;6.642;9.799;5.535
10000.0;8.698;15.395;7.471
10100.0;5.886;12.831;4.697
10200.0;7.493;12.022;6.099
10300.0;8.324;11.644;6.561
10400.0;7.994;13.663;5.655
10500.0;8.003;11.398;6.24
10600.0;10.373;14.553;7.913
10700.0;11.643;14.613;8.409
10800.0;8.489;19.269;6.111
10900.0;14.908;21.605;8.804
