time;ap0;ap1;ap2;ap3
100.0;156;172;153;119
200.0;156;172;153;119
300.0;156;172;153;119
400.0;156;172;153;119
500.0;156;172;153;119
600.0;156;172;153;119
700.0;156;172;153;119
800.0;156;172;153;119
900.0;156;172;153;119
1000.0;156;172;153;119
1100.0;156;172;153;119
1200.0;156;172;153;119
1300.0;156;172;153;119
1400.0;156;172;153;119
1500.0;156;172;153;119
1600.0;156;172;153;119
1700.0;156;172;153;119
1800.0;156;172;153;119
1900.0;156;172;153;119
2000.0;157;171;153;119
2100.0;157;171;153;119
2200.0;157;171;152;120
2300.0;157;171;152;120
2400.0;157;171;152;120
2500.0;157;170;152;121
2600.0;157;171;151;121
2700.0;157;170;152;121
2800.0;157;170;152;121
2900.0;157;170;152;121
3000.0;157;170;152;121
3100.0;157;170;152;121
3200.0;157;170;152;121
3300.0;157;170;152;121
3400.0;157;170;152;121
3500.0;157;170;152;121
3600.0;157;170;152;121
3700.0;157;171;151;121
3800.0;157;171;151;121
3900.0;158;170;151;121
4000.0;158;170;151;121
4100.0;158;170;151;121
4200.0;158;170;151;121
4300.0;158;170;151;121
4400.0;158;170;151;121
4500.0;158;170;151;121
4600.0;158;170;151;121
4700.0;158;170;151;121
4800.0;158;170;151;121
4900.0;158;170;151;121
5000.0;158;170;151;121
5100.0;158;170;151;121
5200.0;158;170;151;121
5300.0;158;170;151;121
5400.0;158;170;151;121
5500.0;158;170;151;121
5600.0;158;170;151;121
5700.0;158;170;151;121
5800.0;158;170;151;121
5900.0;158;170;151;121
6000.0;158;170;151;121
6100.0;157;170;151;122
6200.0;157;170;151;122
6300.0;157;170;151;122
6400.0;157;170;151;122
6500.0;157;170;151;122
6600.0;157;170;151;122
6700.0;157;169;151;123
6800.0;157;169;151;123
6900.0;157;169;151;123
7000.0;157;169;151;123
7100.0;157;169;151;123
7200.0;157;168;151;124
7300.0;157;168;151;124
7400.0;157;168;151;124
7500.0;157;168;151;124
7600.0;158;167;151;124
7700.0;158;167;151;124
7800.0;158;167;151;124
7900.0;158;167;150;125
8000.0;158;167;150;125
8100.0;158;167;150;125
8200.0;158;167;150;125
8300.0;158;167;150;125
8400.0;158;167;150;125
8500.0;158;167;150;125
8600.0;158;167;150;125
8700.0;158;167;150;125
8800.0;158;167;150;125
8900.0;158;167;150;125
9000.0;158;167;150;125
9100.0;157;168;150;125
9200.0;157;167;151;125
9300.0;157;167;151;125
9400.0;157;167;151;125
9500.0;157;167;151;125
9600.0;157;167;152;124
9700.0;157;167;152;124
9800.0;157;166;153;124
9900.0;157;166;153;124
10000.0;158;166;153;123
10100.0;158;166;153;123
10200.0;159;166;152;123
10300.0;159;166;152;123
10400.0;160;166;152;122
10500.0;160;166;152;122
10600.0;160;166;152;122
10700.0;160;166;152;122
10800.0;160;166;152;122
10900.0;160;166;152;122
